value,description,notes
sostiner,"hold, argue","as in a grip, maintain"
aclarar,clarify,
lograr,achieve,
propia,own,propia > proper > property
oportuno,timely,
en vez de,instead of,"en lugar de, en sitio de"
gastos asociados,related expenses,
varios,several,
aumentar,increase,augment
alimento,food,plain and simple 🙂
en cuanto,"as soon as, as for",
es clave,it's key,
proporcionar,"provides, supply",
equilibrada,balanced,
prestaciones,benefits,
A pesar de que,despite the fact that,
presupuesto,budget,
alargar,lengthen,
alcanzar,reach,
hechos,facts,
faltar,lack,
que alivio,what a relief,
unos,"some, about (a quantity)",
tanto,so much,
mitad,half,
trasfondo,background,
equivocado,mistaken,
significado,meaning,
raíz,root,
cuyo,whose,
grosería,rudeness,
soportar,put up with,
ámbito,"scope, field",
demanda,lawsuit,
comprobar,"check, verify","verify experiment, check answers"
chequear,check,"check on someone, check in luggage"
pautas,guidelines,
para empezar,to begin with,
primeramente,firstly,
primero,first,
en primer lugar,in the first place,
además,moreover,se use una coma despues de la frase
también,also,
como consecuencia,as a result,
como resultado,as a result,
de hecho,"in fact, as a matter of fact",se use una coma despues de la frase
en realidad,actually,se use una coma despues de la frase
hoy en día,nowadays,se use una coma despues de la frase
actualmente,nowadays,
por ejemplo,for example,se use una coma despues de la frase
con respecto a,regarding; concerning,
en cuanto a,regarding; concerning,
según,according to,
por lo general,in general,se use una coma despues de la frase
cada vez más,more and more,
cada vez menos,less and less,
sin embargo,however; nevertheless; yet,
pero,but,
a pesar de,in spite of,
aunque,even though; even if,
aún así,"even so, even then",
por otra parte,on the other hand,
no obstante,regardless,
por otro lado,on the other hand,
así que,therefore,
por eso,because of that,
por lo tanto,"thus, therefore",
por consiguiente,"thus, therefore",
entonces,then,
por ese motivo,for that reason,
por esa razón,for that reason,
de esta manera,in this way,
por suerte,luckily; fortunately,
por desgracia,unfortunately,
en conclusión,in conclusion,
en resumen,in summary,
finalmente,finally,
"de lo anterior, se puede concluir que ...","from the above, one can conclude that ...",
después de todo,after all,
en todo caso,in any case,
a fin de cuentas,"in the end, all in all",
a partir de ahora,hereinafter,
exitoso,successful,
propósito,purpose,
alegrar(se),gladden,
todavía,"still, yet",
caber,to fit (like in a schedule),
horario,schedule,
las pocos,the few,